simulation_id,triggered,trigger_time,payoff,final_salary,min_salary,avg_salary
2223,True,18.0,9559.974818330991,2868.2557289271545,2868.2557289271545,3938.3887972520492
2224,True,14.0,9656.05416257566,3274.4759709159325,3274.4759709159325,4069.3212484179685
2225,True,13.0,9680.224498313057,3431.4495758025632,3431.4495758025632,4199.05834004588
2226,True,16.0,9607.894391523227,2484.7464448986802,2484.7464448986802,3859.037692210684
2227,True,22.0,9464.851479534831,3243.3718531231416,3172.83038631011,4232.423600654669
2228,True,13.0,9680.224498313057,2939.3417318557504,2893.458243392784,3807.7322219048824
2229,True,22.0,9464.851479534831,3386.8706379649507,3386.8706379649507,4329.145237633541
2230,True,12.0,9704.455335485078,3420.6193430443373,3420.6193430443373,4103.070301470006
2231,True,24.0,9417.645335842479,3259.8787945798017,3259.8787945798017,4269.658034936158
2232,True,35.0,9162.188716508763,3702.1991476469607,3702.1991476469607,4530.532215108733
2233,True,11.0,9728.746825534536,2986.4524846955915,2959.274899392016,3782.411646863667
2234,True,16.0,9607.894391523227,3189.3430495400626,3189.3430495400626,4210.0012703862285
2235,True,16.0,9607.894391523227,2667.921206249719,2667.921206249719,3968.1834111863795
2236,True,18.0,9559.974818330991,3605.6026647569197,3605.6026647569197,4358.184115995474
2237,True,12.0,9704.455335485078,3732.9749086560987,3719.6939499342047,4195.000156716445
2238,True,17.0,9583.904655209462,3599.9181556284334,3599.9181556284334,4354.6764758118925
2239,True,12.0,9704.455335485078,2918.7644787657714,2899.789144967298,3835.4019926015258
2240,False,,0.0,4036.4893646239125,4036.4893646239125,4812.763405507786
2241,True,9.0,9777.51237193336,3286.3304204721217,3272.490979659021,3922.1169241169187
2242,True,19.0,9536.104731326255,2941.680594291056,2941.680594291056,4066.0558124723293
2243,True,37.0,9116.492109644603,3749.2408258351234,3728.3338397031116,4650.516799195498
2244,True,12.0,9704.455335485078,2875.5468251009925,2875.5468251009925,3738.0776357178433
2245,True,35.0,9162.188716508763,3790.0523733559626,3790.0523733559626,4568.511045292776
2246,True,14.0,9656.05416257566,3673.757722503714,3669.837125301512,4324.269978490276
2247,True,19.0,9536.104731326255,2669.8989718008033,2660.8356567274413,3971.894319540901
2248,True,13.0,9680.224498313057,2835.0918196555403,2751.1467787077613,3782.821683308097
